fseq,name,kcal,carb,prt,fat
435,리코타치즈샐러드,36.0,9.27,0.71,0.08
436,묵사발,553.75,121.347,42.850002,9.0295
437,베이컨 말이 감자 튀김,6449.5,251.7,90.885,568.4
438,콜라닭,340.45,41.921,14.9925,12.04
439,연복풍덮밥,1216.1499,140.324,38.3285,59.437
440,백종원 치킨,4584.3,849.58606,231.569,28.536
441,오이고추 된장무침,291.47,29.7392,9.1949005,16.7387
442,맥 앤 치즈,4754.5,669.81494,165.30002,158.63
443,감자루꼴라,6797.8,164.7135,93.56899,644.91797
444,월남쌈,1186.4501,149.1305,43.65,46.7635
445,옥수수전,594.8,105.03799,14.832,12.713
446,햄버거,1565.2098,96.525406,111.7281,80.75051
447,블루밍 어니언,1065.15,106.3482,43.0686,49.477997
448,리코타 샐러드 스파게티면,2634.5,401.77,78.924995,83.560005
449,초계탕,753.87,109.3161,58.891502,6.911
450,문어연포탕,701.4,59.671,88.73249,4.798
451,감자튀김,1589.5802,147.23299,15.2321,104.926
452,곤약구이,870.30005,265.55704,8.997499,10.169
453,콜리플라워 라이스,787.8,94.095,35.213,39.4345
454,치즈감자전,544.8,48.828003,36.567997,21.534
455,맥앤치즈볼프라이,6771.51,378.27,73.4227,553.6339
456,바베큐립,1597.4998,226.1835,31.564,50.041996
457,족발불고기,628.48004,46.956505,50.771797,51.166
458,피자핫도그,729.8,75.046,53.363503,22.572
459,꼬꼬뱅,2486.95,301.31702,154.93802,37.338997
460,소시지야채볶음,1867.96,182.05779,65.773094,103.0424
461,전자레인지 양파링,980.7,92.002,54.482998,40.035004
462,돼지고기(삼겹살) 냉채,2318.45,141.1575,118.23301,145.33101
463,오꼬노미야끼,1907.4,176.31099,195.32251,42.219997
464,소시지 캠핑요리,1071.7,77.27051,31.0255,72.102
465,햄프라이,1028.63,90.04599,29.31,62.092697
466,훈제연어 에그 베네딕트,1586.2999,158.0445,64.7585,86.689995
467,샌드위치,1313.2999,94.823,62.200005,79.3495
468,탕수육,543.65,0.8720001,46.758503,37.72
469,만두피 츄러스,329.75,78.6965,6.9,1.5999999
470,오꼬노미야끼 달걀말이,1000.7501,20.992,108.008,50.706
471,매운 갈매기살 덮밥,617.37,109.9765,28.004498,8.825
472,청경채 볶음,924.1,28.364,3.567,90.255
473,삼겹살샐러드,663.89996,29.12,31.356003,46.802998
474,매콤치즈등갈비,1530.97,210.1273,111.73001,36.373497
475,새우떡갈비,1049.5,4.7,132.03001,52.684998
476,홍합스파게티,1010.0,191.013,52.815998,4.548
477,골뱅이 비빔면,792.64996,127.29301,47.4055,7.5435004
478,파채 골뱅이 튀김,318.22,45.534595,31.973,3.1399999
479,부추볶음 연어 스테이크,971.63,74.4295,43.803,58.225502
480,가래떡 떡볶이,926.75,203.941,25.589499,5.935
481,계란 오꼬노미야끼,1359.1,25.6305,125.4055,80.09901
482,차돌박이 물회,269.2,30.9396,25.054,6.1196
