,식품명,kcal,prt,fat,carb
1335,떡볶이떡,232,3.92,0.29,52.76
1336,타르타르소스,516,1.05,51.32,14.73
1337,밀가루(중력분),365,9,1.9,78
1338,와인,85,0.07,0,2.61
1339,칠면조패티,189,28.55,7.39,0.06
1340,우동다시,79,1.62,2.74,12.38
1341,우동국물,79,1.62,2.74,12.38
1342,포도잼,55,0,0,14
1343,흑임자,342,34.4,10.66,39.56
1344,저염된장,53,5.17,0.08,8.51
1345,울금가루,354,7.83,9.88,64.93
1346,블랙 올리브,105,0.88,9.54,6.06
1347,스냅콩,20,1.15,0.1,4.5
1348,국간장,60,8,0,7
1349,훈제연어,117,18.28,4.32,0
1350,요거트,65,1.29,0.02,15.23
1351,파프리카가루,385,15.5,11.6,55.6
1352,홀스래디쉬소스,325,1,33,7
1353,케이퍼,23,2.36,0.86,4.89
1354,휘핑크림,348,2.07,37.28,2.81
1355,혼합 샐러드 채소,17,1.52,0.24,3.2
1356,코코넛크림,197,2.02,21.33,2.81
1357,생크림 요거트,105,2,6,11
1358,계란,136,12.91,8.25,0.79
1359,계란 흰자,51,11,0.2,0.7
1360,계란 노른자,321,16,27,3.6
1361,다진생강,42,0.97,0.15,9.82
1362,우스타소스,100,1,0,24
1363,우스터소스,100,1,0,24
1364,계피가루,322,4,2,78
1365,비타민,200,1,0.18,49.36
1366,레몬주스,26,0.39,0,8.9
1367,닭고기(가슴) 소시지,130,16,6,3
1368,오트밀가루,382,13.2,8.2,64.9
1369,초코칩 쿠키,489,5.5,24.73,64.06
1370,카옌 파우더,340,12,20,60
1371,비엔나소시지,230,10.5,19.4,2.6
1372,완두,114,7.92,0.44,19.51
1373,프랑크소시지,358,9,34,4
1374,가쓰오부시,340,76.8,2.26,2.34
1375,만두피,245,13,2.8,52
1376,잉글리쉬머핀,227,8.87,1.69,44.17
1377,말린 고추,312,13.88,8.71,57.47
1378,바베큐소스,143,1.38,0.54,33.08
1379,어린잎 채소,15,2,0,2
1380,옐로,149,17.2,5,12.7
1381,파프리카(빨강),26,0.91,0.13,6.42
1382,토마토 페이스트,105,3,0,21
1383,피자소스,90,1,1,19
1384,적양배추,31,1.43,0.16,7.37
1385,얼음,0,0,0,0
1386,양파즙,30,0.66,0.06,7.22
1387,물김치,20,1.12,0.17,4.45
1388,알배추,15,1.25,0.04,3.2
1389,칵테일새우,63,15,1.25,0
1390,돈가스,284,22.58,15.3,12.28
1391,나쵸,531,6,29,62
1392,허니머스타드,285,1,19,27
1393,피클,91,0.38,0.12,25.07
1394,샐러리,14,0.69,0.17,2.97
1395,검은깨,565,20.4,50.7,17.1
1396,케첩,135,1.78,0.08,31.73
1397,빵,266,7.64,3.29,50.61
1398,현미국수,360,7,3,76
1399,견과,617,16.51,56.3,21.58
1400,즉석밥(현미),153,3,0.73,32.83
1401,현미밥,153,3,0.73,32.83
1402,잡곡밥,150,2.83,0.38,33.76
1403,백미밥,152,2.11,0.28,33.59
1404,곤드레,32,3.47,1.38,3.29
1405,두릅,21,2.92,0.48,2.71
1406,전분,330,0.23,0.04,79.16
1407,스트로베리,36,0.8,0.2,8.9
1408,연겨자,360,5,25,29
1409,앙금,267,5.7,4.28,51.4
1410,도라지청,300,0,0,80
1411,우유식빵,335,8,8,57
1412,김밥김,250,31.25,0,31.25
1413,잼,260,0.54,0.14,66.63
1414,배합초,43,0.2,0,10.5
1415,겨자소스,360,5,25,29
1416,쿠키 스프레드,575,5,35,60
1417,김치,38,1.97,0.57,6.24
1418,완두콩,114,7.92,0.44,19.51
