,식품명,kcal,prt,fat,carb
227,삼씨(대마씨),450,29.9,28.3,31.7
228,수박씨,451,19.3,22.9,47.2
229,아마씨,540,21.8,43.3,30.4
230,아몬드,581,23.44,49.96,20.09
231,연씨,81,5.9,0.5,14.9
232,은행,203,4.69,1.53,42.78
233,잣,630,15.96,59.28,19.38
234,참깨,549,20.85,44.12,26.45
235,치아씨,486,16.54,30.74,42.12
236,캐슈넛,581,16.84,47.77,30.16
237,코코넛,660,6.88,64.53,23.65
238,코코넛밀크,230,2.29,23.84,5.54
239,코코넛수,19,0.72,0.2,3.71
240,피스타치오,560,20.16,45.32,27.17
241,피칸,691,9.17,71.97,13.86
242,해바라기씨,589,21.93,52.26,18.58
243,호두,688,15.47,71.99,7.92
244,치아시드,486,17,31,42
245,호박씨,548,35.35,48.18,5.34
246,가시오갈피,76,5.67,0.7,15.87
247,가지,19,1.13,0.03,4.36
248,갓,36,3.5,0.2,7.3
249,개비름,23,2.72,0.29,3.96
250,갯기름나물,47,3.71,0.41,9.67
251,갯나물,18,1.61,0.14,3.59
252,게걸무,59,2.3,0.1,13.6
253,겨자,24,3.03,0.17,4.19
254,경수채,26,1.68,0.24,5.57
255,고구마잎,47,3.92,0.44,7.34
256,고구마줄기,18,0.76,0.02,3.63
257,고들빼기,29,1.6,0.5,5.8
258,고려엉겅퀴,32,3.47,1.38,3.29
259,고비,28,1.72,0.13,6.41
260,고사리,22,2.9,0.17,3.8
261,고수(코리엔더),33,4.6,0.2,5.6
262,페페론치노,25,1.9,0.17,6.78
263,홍고추,40,1.87,0.44,8.81
264,고추,29,1.71,0.19,6.42
265,카옌페퍼,318,12,17,57
266,꽈리고추,33,1.83,0.13,7.78
267,오이고추,23,0.99,0.12,5.51
268,프릭키누,80,3,0,7
269,청양고추,31,1.53,0.3,7.01
270,고추장아찌,124,2.39,0.63,31.49
271,고춧잎,45,5.07,0.32,8.49
272,고추냉이,103,2.9,0.5,23.7
273,곤달비,42,1.8,0.5,9.4
274,공심채,17,2.2,0.1,3.1
275,꾸지뽕,85,5.06,0.51,19.18
276,구기자순,50,6.27,1.08,7.05
277,구기자잎,56,6.33,1.57,7.77
278,국화꽃,25,1.4,0,6.5
279,근대,18,1.78,0.2,3.28
280,갓김치,37,3.26,0.4,7.07
281,고들빼기김치,88,4.1,2.7,11.9
282,깍두기,38,1.43,0.19,7.54
283,나박김치,7,0.34,0.07,1.27
284,동치미,8,0.33,0.01,1.77
285,배추김치,38,1.97,0.57,6.24
286,방풍나물,75,5.09,2.13,10.83
287,김치국물,60,3.76,3.79,3.23
288,백김치,16,0.95,0.07,3
289,열무김치,32,2.4,0.29,4.99
290,열무물김치,18,1.41,0.07,2.91
291,오이소박이,37,1.76,0.37,6.66
292,유채김치,62,3.5,0.8,10.1
293,유채물김치,17,1,0.1,3
294,총각김치,41,2.02,0.2,7.89
295,파김치,49,2.5,0.58,8.51
296,얼갈이배추김치,30,1.88,0.58,4.37
297,콜리플라워,27,2.17,0.48,4.84
298,꿀풀(하고초),48,1.6,0.2,11.9
299,날개콩,36,1.9,0.2,6.5
300,냉이,41,4.23,0.27,8.06
301,누리장나무잎,65,4.5,1,12.7
302,는쟁이냉이,28,2.5,0.3,5.4
303,달래,28,1.9,0.22,6.1
304,당귀,43,3.2,0.4,8.8
305,당근,31,1.02,0.13,7.03
306,당근 주스,38,0.44,0.09,10.03
307,대나무순(죽순),24,3.48,0.22,3.77
308,죽순 통조림,19,1.72,0.4,3.22
309,더덕,89,1.91,0.13,21.52
310,도라지,56,1.7,0.11,13.08
311,돌나물,15,1.19,0.08,3.23
312,동아,15,0.5,0.1,3.8
313,땅두릅,25,2.4,0.22,4.79
314,참두릅,33,4.13,0.22,5.89
315,둥굴레,52,3.4,0.2,11.7
316,깻잎,47,4.46,0.5,8.89
317,들깻잎장아찌,124,4.03,0.42,26
318,딜,43,3.5,1.1,7
319,루꼴라,26,3.17,0.43,4.2
320,리크,54,1.8,0.3,13.2
321,마늘,128,7.45,0.16,26.42
322,마늘 장아찌,113,2.43,0.16,25.36
323,마늘종,53,1.86,0.06,13.39
324,마늘종 장아찌,118,1.96,0.14,27.34
325,풋마늘,29,1.9,0.17,7.33
326,마타리,45,2.1,0.1,10.9
327,머위,17,2.31,0.14,2.74
328,모링가(드럼스틱),66,4.21,1.38,12.43
329,모시풀,64,6.61,0.71,11.85
330,무,15,0.53,0.18,3.27
331,무청,31,2.9,0.2,6.1
332,시래기,23,1.58,0.27,4.68
333,무순,20,1.89,1.01,1.82
334,단무지,12,0.36,0.05,2.42
335,쌈무,15,0.54,0.03,3.1
336,치킨무,22,0.44,0.21,4.89
337,무말랭이,318,13.59,0.3,65.34
338,무말랭이 무침,131,2.25,0.61,29.24
339,무국물,1,0,0,0.3
340,물냉이,23,3.5,0.1,3.7
341,물쑥,36,5.4,0.3,5.6
342,돌미나리,21,2.2,0.2,3.8
343,미나리,120,0.36,0,33.48
344,민들레,29,2.44,0.44,5.48
345,바젤라,11,0.7,0.2,2.6
346,바질,32,2.43,0.71,5.56
347,박,21,0.5,0.1,5.2
348,박고지,268,7.6,0.4,69
349,박쥐나무,100,6.7,1.2,20.7
350,방가지똥,46,2.5,0.4,10.3
351,방울다다기양배추,49,3.28,0.16,11.17
352,배암차즈기(곰보배추),25,1.73,0.62,4.5
353,배초향(방아),55,4.87,0.46,11.13
354,배추,15,1.25,0.04,3.2
355,봄동,23,2.02,0.17,4.78
356,얼갈이배추,14,1.22,0.08,2.78
357,백모근,337,9,2,77
358,백합,118,3.34,1.52,24.91
359,보리,24,2,0.3,4.6
360,뽕잎,65,6.28,0.5,12.82
361,부지깽이,30,3.65,0.43,4.9
362,부추,46,1.2,0.1,11.9
363,브로콜리,32,3.08,0.2,6.32
364,비비추(이밥추),48,3,0.6,10.1
365,비타민채(다채),14,2.1,0.2,2
366,비트,26,1.56,0.14,5.26
367,사탕무,77,1.8,0,18.7
368,사탕수수,77,1.1,0,20.9
369,산마늘(명이나물),36,2.02,0.21,8.21
370,산마늘(명이나물)장아찌,55,2.37,0.62,12.2
371,삼나물,293,22.8,2.2,61.3
372,삼붕냐와,27,1.62,1.09,3.84
373,삼채,49,0.77,0.04,12.15
374,로메인상추,17,1.2,0.3,3.3
375,상추,20,1.88,0.36,3.48
376,생강,42,0.97,0.15,9.82
377,생강 피클,15,0.3,0.2,3.9
378,보검선인장,83,0.97,0.19,19.35
379,섬초롱,41,3,0.4,8.5
380,셀러리,17,1.04,0.07,3.95
381,소리쟁이,259,21.7,2.2,52.6
382,쇠귀나물,128,6.3,0.1,26.6
383,수리취(떡취),64,3.9,0.2,14.7
384,숙주나물,13,1.73,0.05,2.34
385,순무,27,1.5,0.09,5.65
386,스테비아,40,2.4,0.32,8.71
387,시금치,29,3.35,0.39,4.86
388,신선초(명일엽),24,1.08,0.14,5.66
389,쌈추,25,3.07,0.23,4.29
390,쑥,37,3.4,0.38,7.04
391,쑥갓,15,1.93,0.17,2.35
392,쑥부쟁이,26,2.92,0.72,3.53
393,씀바귀,43,2.9,0.4,9.2
394,아스파라거스,17,2.02,0.34,2.53
395,아욱,37,3.08,0.31,7.64
396,아이비카,260,27.7,4.4,43.7
397,아주까리,287,36.8,3.1,48
398,아티초크,47,3.27,0.15,10.51
399,알로에,3,0.1,0,0.7
400,알로에 음료,40,0,0,11.09
401,알팔파,21,3.53,0.2,3.14
402,양배추,33,1.68,0.08,7.92
403,양파,29,0.95,0.04,6.67
404,샬롯,80,2.28,2.54,14.84
405,양파 장아찌,85,1.59,0.05,20.99
406,양하,13,0.6,0.1,2.8
407,어수리,31,4.4,0.3,5
408,음나무(엄나무),41,6.94,0.67,5.2
409,엉겅퀴,267,22.4,1.6,55.6
410,여주(고야),22,1.28,0.36,4.48
411,연근,75,1.63,0.07,17.28
412,연근 조림,261,2.1,1.3,60.2
413,열대비름(아마란스),45,5.8,0.9,6.5
414,열무,14,2.08,0.21,1.99
415,염교(락교),83,1.4,0.2,29.3
416,영아자,34,2.5,0.1,7.7
417,오이,13,0.8,0,3.1
418,오이 피클,91,0.38,0.12,25.07
419,오이지,10,0.63,0.12,2.1
420,오크라,26,2.1,0.2,6.6
421,옥수수,40,1.7,0.3,8.2
422,우엉,69,2.61,0.06,15.29
423,울금,87,1.79,2.56,15.73
424,울외장아찌,67,5.1,0.3,13.1
425,원추리,35,3.55,0.36,6.48
426,유채싹,78,3.4,4.6,6.8
427,유채잎,30,3.89,0.31,4.98
428,잇꽃(홍화),45,3.9,0.4,9
429,자운영,40,4.6,0.6,6.6
430,잔대,79,2.1,0.2,18.6
431,적양무,19,2.54,0.42,2.54
432,전호,23,3.1,0.1,4.2
433,제비쑥,35,4.5,0.7,5
434,조뱅이,47,4,0.2,10.1
435,줄나물,236,29.7,1.7,41.9
436,진달래꽃,26,1,0.1,6.3
437,질경이,48,3,0.2,10.8
438,참나물,39,3.5,0.4,7.6
439,참반디,288,12.6,2.7,65.7
440,참빗살나무,61,7.4,0.7,10.3
441,참죽나물(가죽나물),48,5.8,0.39,8.59
442,청경채,10,1.41,0.09,1.64
443,초석잠,76,2.3,0.56,17
444,총각무,22,1.38,0.07,5.18
445,취나물,53,4.2,0.3,11.3
446,곰취,32,3.04,0.49,5.77
447,치커리,72,1.4,0.2,17.51
448,케일,26,3.11,0.24,4.61
449,콜라비,22,1.16,0.05,5.16
450,콩나물,36,4.64,1.36,3.8
451,콩잎,94,6.6,0.3,21
452,토란대,16,0.28,0.05,4.25
453,아이스플랜트,15,1.23,0.09,1.56
454,토마토,19,1.03,0.18,4.26
455,토마토 음료,41,0.4,0.02,10.92
456,토스카노(잎브로콜리),40,4.7,0.6,6.7
457,실파,16,1.5,0.1,3.2
458,쪽파,21,1.73,0.14,4.24
459,대파,23,1.78,0.15,4.8
460,파드득나물(삼엽채),25,1.8,0.1,5.5
461,파슬리,36,3.2,0.5,6.8
462,파프리카,24,0.77,0.12,5.95
463,피망,28,1.17,0.09,6.94
464,할라페뇨,27,0.92,0.94,4.74
465,해바라기,9,2.2,0.1,0.9
466,호박잎,45,4.83,0.38,8.43
467,국수호박,18,0.6,0.1,4.4
468,늙은호박,38,0.88,0.17,8.49
469,단호박,57,1.19,0.65,13.63
470,애호박,22,1.07,0.09,5.14
471,쥬키니,31,1.2,0.1,7.7
472,차요테,21,0.59,0.46,4.37
473,호박즙,21,0.64,0,4.73
474,화살나무(홑잎),96,4.77,0.84,21.59
475,검은비늘버섯,13,1.8,0.1,4.5
476,꽃송이버섯,19,1.11,0.39,7.35
477,나도팽나무버섯,16,2.4,0,5.7
478,노루궁뎅이버섯,13,2.57,0.41,2.89
479,느타리버섯,15,2.6,0.14,4.7
480,능이버섯(향버섯),17,2.2,0.1,5.9
481,동충하초,27,5.56,0.38,7.07
482,만가닥버섯,19,2.5,0.34,6.34
483,목이버섯,13,0.79,0.19,5.22
484,밤버섯,17,2.9,0.9,3.5
485,버들송이버섯,20,4.2,0.1,5.5
486,뽕나무버섯,195,27.7,6.9,54.4
487,상황버섯,179,4.4,0.27,84.58
488,석이버섯,165,11.75,0.96,68.47
489,송이버섯,21,2.05,0.15,8.12
490,싸리버섯,20,2.8,0.6,5.7
491,아위버섯,26,3.53,0.4,8.56
492,애느타리버섯,16,4.2,0.1,3.5
493,양송이버섯,15,3.12,0.23,3.89
494,영지버섯,187,9.41,1.4,81.03
495,잎새버섯,13,2.2,0.5,3.29
496,새송이버섯,20,2.92,0.23,6.54
497,팽이버섯,21,2.41,0.51,7
498,포타벨라,16,3.3,0.1,4.6
499,표고버섯,31,3.9,0.38,10.84
500,풀버섯,15,2.7,0.1,4.6
501,감,59,0.5,0.1,16.9
502,곶감,214,1.93,0.08,57.45
503,감 주스,41,0.1,0.1,11
504,구기,69,4.5,2.04,10.23
505,구아바,33,0.6,0.1,9.9
506,구즈베리,51,1,0.1,13.2
507,레드향,48,0.59,0.12,12.39
508,신예감,34,0.29,0.41,8.2
509,천혜향,41,0.82,0.08,10.56
510,한라봉,50,0.99,0.11,12.8
511,황금향,40,0.4,0.13,10.3
512,온주밀감,39,0.53,0.1,10.04
513,임온주,43,1,0.1,10.8
514,귤주스,39,0.2,0.1,10.4
515,귤잼,309,1,0,76.2
516,금귤,73,1.19,0.13,18.77
517,다래,67,1.6,0.4,16.2
518,대추,105,1.45,0.1,27.56
519,대추야자,281,2.2,0.2,71.3
520,두리안,140,2.3,3.3,27.1
521,냉동딸기,40,1,0,9
522,딸기,36,0.8,0.2,8.9
523,딸기잼,285,0.51,0.09,70.45
524,라임,30,0.7,0.2,10.54
525,라임 주스,25,0.42,0.07,8.42
526,라즈베리,52,1.2,0.65,11.94
527,람부탄,82,0.65,0.21,20.87
528,레몬,36,0.71,0.08,9.27
529,레몬즙,24,0.4,0.2,8.6
530,레몬청,57,0.02,0,14.75
531,레몬필,47,1.5,0.3,16
532,롱안,60,1.31,0.1,15.14
533,리치,61,1,0.1,16.4
534,마가목 열매,115,1.3,0.8,25.5
535,망고,61,0.72,0.1,15.97
536,망고 음료,28,0.04,0.01,7.71
537,애플망고,57,0.54,1.14,12.56
538,망고스틴,71,0.6,0.2,17.5
539,매실,41,1.1,1.1,7.8
540,매실청,213,0.23,0.18,52.72
541,매실 절임,216,1.86,0.52,51.08
542,머루,79,1.51,0.94,18.32
543,머루 주스,81,0.3,0.2,21.8
544,멜론,21,0.5,0.1,5.1
545,모과,78,0.7,0.4,20
546,무화과,57,0.6,0.1,14.3
547,바나나,77,1.11,0.2,20
548,배,45,0.29,0.04,12.24
549,배즙,52,0.3,0.5,13
550,백향과(패션프루트),100,1.68,1.55,22.58
551,버찌,60,1.7,0.1,14.9
552,보리밥 열매,354,18.5,1.3,68.5
553,복분자,88,1.52,2.2,17.96
554,복숭아,48,1.8,0.7,10
555,천도복숭아,32,0.93,0.05,7.85
556,블랙베리,43,0.67,1.13,8.69
557,블랙커런트,63,1.4,0.41,15.38
558,블루베리,48,0.55,0.09,12.57
559,비파,45,0.29,0.2,11.95
560,사과,57,0.2,0.66,14.11
561,사과주스,42,0.17,0.01,11.45
562,산딸기,55,1.35,0.22,13.55
563,산수유,112,0.87,2.82,23.83
564,살구,30,1.2,0.05,7.12
565,석류,77,0.29,0.2,20.71
566,소귀나무 열매,24,0.8,0.6,4.6
567,수박,31,0.79,0.05,7.83
568,애플수박,40,0.94,0.81,8.39
569,산자나무 열매(씨벅톤),70,1,3.8,9.7
570,아떼모야,73,1.2,0.1,19
571,아로니아,60,0.82,0.21,15.41
572,아보카도,160,2,14.66,8.53
573,아세로라,36,0.7,0.1,9
574,아세로라주스,42,0.1,0,10.5
575,앵두,61,1.1,0.3,15.2
576,엘더베리,73,0.66,0.5,18.4
577,오디,56,0.8,0.4,14
578,오렌지,47,0.92,0.16,11.81
579,오렌지주스,36,0.58,0.04,9.49
580,오렴자(카람볼라),30,0.7,0.1,7.5
581,오미자,81,2.1,3.3,12.8
582,오미자청,226,0.14,0.26,55.87
583,올리브 절임,137,1.09,12.36,5.34
584,용과,44,1,0.4,10.3
585,유자,49,0.93,0.09,12.54
586,으름,158,2,12.9,11.9
587,자두,26,0.5,0.6,5.3
588,자몽,32,0.63,0.1,8.08
589,잭프루트,95,1.72,0.64,23.25
590,참외,45,1.33,0.04,11.23
591,체리,67,1.59,0.06,16.9
592,크랜베리,46,0.46,0.13,11.97
593,크랜베리 주스,46,0.39,0.13,12.2
594,키위,66,0.93,0.63,16.08
595,키위 주스,180,0.25,0,49.68
596,탱자,84,1.3,1.5,18.5
597,파인애플,53,0.46,0.04,14.32
598,파인애플 주스,43,0.39,0.03,11.52
599,파파야,23,0.45,0.05,5.95
600,거봉,60,0.4,0.27,15.73
601,포도,57,0.4,0.24,14.91
602,샤인머스캣,66,0.38,0.1,17.66
603,건포도,297,2.64,0.53,78.89
604,포도 주스,49,0.23,0,13.49
605,포도즙,48,0.66,0.01,12.62
606,플럼코트,47,0.61,1.05,9.97
607,프루트샐러드,82,0.2,0.4,19.3
608,프루트칵테일,75,0.19,0.03,18.52
609,프루트펀치,48,0,0,11.97
610,개구리고기,75,16.1,0.4,0.7
611,거위고기,161,22.75,7.13,0
612,고래고기,111,26.5,0.5,0
613,꿩고기,124,27.5,0.8,0
614,닭고기,115,24,1.4,0.1
615,닭고기(다리),156,18.7,8.8,0
616,닭고기(가슴),164,31,3.6,0
617,닭고기(날개),81,7.46,5.4,0
618,닭고기(모래집),146,30.39,2.68,0
619,닭고기(튀김),119,19.65,3.91,0
620,오골계고기,138,19,6.1,0.1
621,닭 육수,12,1.3,0.7,0
622,닭뼈 육수,7,0.9,0.4,0
623,닭꼬치,252,16.5,12.2,19.1
624,닭발,215,19.4,14.6,0.2
625,돼지고기,203,19.45,12.84,0
626,돼지고기(목살),269,23.11,18.86,0
627,돼지고기(앞다리살),182,16.27,12.38,0
628,돼지고기(삼겹살),331,17.24,28.21,0
629,돼지고기(등심),232,22.92,14.86,0
630,돼지고기(다짐육),263,16.88,21.1,0
631,돼지고기(뒷다리살),245,17.43,18.87,0
632,돼지고기(갈비살),144,21.35,5.89,0
633,돼지고기(안심),120,20.99,3.41,0
634,돼지고기(갈매기살),215,14.37,17.02,0
635,돼지고기(항정살),209,28.6,9.62,0
636,돼지고기(대패삼겹살),298,15.2,25.64,0.52
637,돼지고기(편육),163,17.43,8.5,0
638,족발,229,43.06,31.42,0.64
639,베이컨,241,15.27,17.12,6.42
640,소시지,241,14.41,17.7,5.9
641,살라미,336,22,26,2.4
642,뽀르게타 햄,310,16,25,3.1
643,햄,121,20.66,3.34,1.97
644,돼지불고기,128,14.1,6.9,2.4
645,순대,178,3.18,3.96,32.28
646,포크커틀릿,285,9.4,18.2,21
647,말고기,102,20.1,2.5,0.3
648,메추리고기,194,20.5,12.9,0.1
649,멧돼지고기,249,18.8,19.8,0.5
650,소고기(갈비),307,16.5,24.4,1.9
651,소고기(등심),313,15.61,26.3,0
652,소고기(양지),253,18.58,18.59,0
653,소고기(채끝),126,17.1,5.6,0.2
654,소고기(설도),217,19.63,14.21,0
655,소고기(안심),268,17.4,20.63,0
656,소고기(앞다리살),222,18.9,15.12,0
657,소고기(부채살),285,17.02,22.64,0
658,소고기(우둔살),191,20.4,11.11,0
659,소고기(목심),227,20.83,14.75,0
